gene,umap_x,umap_y,cluster
SPAST,11.533307,-8.363991,1
ITFG2,15.914451,-7.082626,18
HACE1,9.174562,-7.9787345,1
ELOVL6,11.213837,-7.919818,1
PTTG1,-4.737753,6.352802,4
STK17A,7.205214,5.643382,9
WASHC2A,3.9853168,-9.50109,1
KIAA1147,2.9572806,-0.80923945,13
VIM,-3.4008362,9.487958,12
SPIRE1,4.2351108,-2.7843642,13
ANKRD50,22.032991,0.51788056,18
ERCC6,6.129051,3.455895,9
PALLD,19.409588,-6.254087,18
ICE2,5.188605,-6.4884605,13
NAIP,2.0318599,3.9003742,9
ORC4,18.149578,-6.939572,18
RPUSD4,22.593615,-1.815524,18
NAA30,7.049883,-1.6066496,13
SMCHD1,17.048092,7.273669,7
SCRIB,19.577139,-6.3394837,18
ANKRD42,7.0616117,8.796615,5
MYLIP,11.141588,16.468618,0
MGP,7.300637,7.861759,6
ELP4,22.112623,0.136297,18
AP001462.1,2.1693444,4.13771,9
PDE3A,22.217394,-3.187726,18
SNRPF,-3.7004988,8.451902,16
ATP1A1,10.816053,11.704255,0
GOLGA3,16.796589,-6.5347185,18
AFF4,7.6088967,21.91286,17
C21orf58,9.030832,0.8829884,13
ITPR3,8.141391,-0.02416455,13
MAP4,3.999661,19.162918,3
DIS3L,3.8721247,-1.045798,13
KIF2C,-6.6916294,-0.6213386,19
ZNF460,7.9219003,6.966022,6
NUCB2,9.542366,2.6474724,7
UBR2,19.829865,2.1096053,7
GBA2,8.085803,-1.2659043,13
CCSAP,-4.610547,2.440165,14
TNK2,5.2275343,4.240055,9
RABGAP1L,7.223546,5.6548457,9
FIGNL1,-3.8464394,0.13985156,2
C1orf131,9.236827,13.60843,0
ARRDC2,6.683901,10.070577,5
ELN,-4.1487637,7.7775974,16
TBC1D2B,17.257372,-7.015635,18
LRRN3,4.7319207,2.8856452,9
SMAD2,16.446434,5.649262,7
EYA4,19.343298,8.517548,7
MCM3AP,20.329119,11.001237,15
